App Name,Category,Privacy Policy Link,Secondary Link,Manually Saved?
Affect,Condition Management,https://www.affect.com/privacy/,,
Curable,Condition Management,https://www.curablehealth.com/privacy,,
EveryDose,Condition Management,https://www.everydose.ai/privacy/,,
Glooko,Condition Management,https://glooko.com/privacy/,,
GlucoseDesk,Condition Management,https://glucosedesk.chadly.de/legal,,
Happy Bob,Condition Management,https://happybob.app/privacy-policy/,,
Libre,Condition Management,https://freestyleserver.com/Payloads/Mobile/fsllPrivacyNotice/DOC38902_pn_en-US.html,,
Manage My Pain,Condition Management,https://www.managemypainapp.com/privacy-policy,,Yes
Medisafe,Condition Management,https://www.medisafe.com/privacy-policy/,,
myAir,Condition Management,https://myair.resmed.com/policies/privacy-notice,,Yes
MySugr,Condition Management,https://legal.mysugr.com/documents/privacy_policy_eu/current/en.html,,
Sober Sidekick,Condition Management, https://www.sobersidekick.com/privacy-policy ,,Yes
Sugarmate,Condition Management,https://www.tandemdiabetes.com/legal/privacy/privacy-notice,,Yes
Sunflower,Condition Management,https://sunflowersober.com/privacy-policy,,
Adidas Running,Fitness,https://www.runtastic.com/privacy-notice/runtastic/en?lang=en,,
All the Rings,Fitness,https://www.cerebralgardens.com/privacy-policy,,
AllTrails,Fitness,https://privacy.alltrails.com/policies/en-US,,Yes
Crunch Fitness,Fitness,https://www.crunch.com/privacy-policy,,
Fitness Stats,Fitness,https://indie.sh/activity-stats/privacy,,
Fitness View,Fitness,https://www.iubenda.com/privacy-policy/73977646,,
Gentler Streak,Fitness,https://gentler.app/privacy/,,
HealthFit,Fitness,https://apps.apple.com/us/app/healthfit/id1202650514,,Yes
HeartWatch,Fitness,https://heartwatch.tantsissa.com/privacy,,
Motion,Fitness,https://motion-app.com/privacy/,,
Nike Trianing Club,Fitness,https://agreementservice.svs.nike.com/il/en_gb/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=IL&language=en&requestType=redirect,,
Peloton,Fitness,https://www.onepeloton.com/privacy-policy,,
Planet Fitness,Fitness,https://www.planetfitness.com/privacy-policy,,Yes
